rep,at indian east india company now by the way why this happens alex i'm pretty sure what you have to do in celeb rose is to create any kind of stemming suggestions you have to actually create synonyms on the back end so if somebody was looking for indian bayonets let's say or indian guns versus india guns you have to create a synonym that indian in india might be the same depending on what you might have used in the catalogue right.
prospect,hmm.
rep,so you're creating tons of synonyms on the back end where.
prospect,it is manual.
rep,right exactly you got it then next comes is the site search process so i searched for spare barrel carrier now i understand that you definitely have tons of carriers one does show up and you can see none of the other ones are.
prospect,yeah i actually i don't know that we have many spare barrel carriers but i know what you mean yeah.
rep,got it well you definitely had a lot of japan flags and maybe when i looked for japanese flags some do show up but i just happened to type in japan and flags and none of the flags showed up.
prospect,yeah that should japan flag should definitely pull up.
rep,and i'm not making this up.
prospect,i know i'm doing it i'm doing it right now .
rep,right now yep .
rep,the next piece what i really wanted to also highlight was couple of other things one was after a customer searches let's say i search for flags and i wasn't necessarily sure which flags i was looking for although there are countries and a lot of products and eras clearly defined right the question here is any query that i fire the filters which is the next most important thing from a customer experience perspective it's pretty standard and now the products that you sell are definitely in a certain niche however i would certainly imagine that if i'm looking for say knives or swords yes maybe military or nation or conflict might be very important in terms of how customers narrative involves town but it's also important to note that there are certain attribution to those categories that'll become more important i don't know whether that's true or not out there because giving the customers the same standard filters doesn't necessarily help it make it easy for them to narrow the results down if you realize that for certain categories of products certain filters are more important you can easily do that or navigation right if you wanted to come in and say let's do headgear i want to do helmets for helmets you can easily say you know something but let's assume that is lucas travel down a strap size for example right head size is clearly important then maybe that's what's more important to show up top versus if i'm looking for a sword maybe the lens the material whatever that case may be so in navigation it's pretty straight forward because you have a very different hats the customers going down however you can search that is not the case so what unboxd allows you to do is also allows you to create very specific filters without any manual effort i might do i want repeat that without any manual effort to be automatically pick that up when if you defined it for the navigation category which is the last thing from any user experience i wanted to share so that's that's that i know syllabus is pretty good on spell check so if i were to you know maybe misspell something like this you know it will figure out that maybe i'm looking for headgear just be careful there's some copy here like an html copy.
prospect,yep.
rep,you know and then did you mean is just randomly sitting there.
prospect,yeah.
rep,no that's just something that a customer if they read they might just might feel like it's not clear that's all.
prospect,yep .
rep,however what celeb rose is not very good at is <> or spellcheck and i don't know if you get a lot of them especially mobile you'll see them was particularly and the last bit was if the experience on desktop versus mobile and that's the last piece i wanted to share i see that your site is responsive but you can see here if i were to do any kind of autocomplete it's pretty much the same as it would be on desktop but you know that in mobile this section gets covered up because of the people.
rep,mm-hmm. only see this if i wanted to really see something else you have to <> scroll down. mm-hm so that's it that's what we wanted to just quickly share with you to see if those things are something that's interesting to you or .
prospect,yes yes that is interesting to me now one one one other question other thing i want to point out huh which you may or may not be aware of the we well we looks like we have traditional categories and we do the way in which our navigation works is every page as a search results page so if you if you navigate traditionally so go hover over militaria on the on the header and go to original antique guns hover over that and then go to clean and complete antique guns and okay so this is actually a search result page if you search clean and complete antique guns this is the same thing would come up.
rep,yep.
prospect,so we have and i did this for a couple of reasons one well the first thing is so this gets influenced also by user behavior so we may not assign something to a category necessarily but if it's if customers are constantly finding it or you're you know searching on it with related queries it will get pushed into the search result eventually. the other thing is sometimes our customers don't know many times don't know as much as we do so they may not know that the martini-henry is a clean and complete gun.
prospect,so what it allows us it allows us a more little bit of a broader spectrum this way we're not limiting our search or our categories specifically on what we manually placed in them do you know what i mean.
rep,yes i totally understood what you mean do.
prospect,you guys offer a link search in navigation.
prospect,yes i do okay all right well then that that's what i mean that's all i need to know.
rep,okay all right so and i and i realized that also because what i the first hint was that every time i would go to a navigation page it would say for sale and we have a good a surgeon would say for sale.
rep,and i was like may be.
prospect,what reason we did that is because we discovered that when we took away our category landing pages and things for just search results google started to not they didn't depreciate them but they didn't wait them as heavily because category pages tend to have more content and if google sees that it's a search result page it tends to depreciate a little bit so by changing it to for sale we've actually seen quite a big bump in seo.
rep,that's interesting.
rep,and so i would imagine that the url saying search results for clean.
prospect,that exactly that's exactly right so if you if you pull this url i am a usa dot com salesperson result japan's flag if you or whatever is you know i'm sorry i was on my screen.
rep,okay.
prospect,if you go to that url right there antique the url that we just looked at.
prospect,and search that in google.
rep,ya.
prospect,no just check out the results.
prospect,and it says clean and complete guns for sale oh no no actually yeah yeah you can do that or you can just what i was gonna say is take that whole url and search it in google not in your not in your navbar you got to go to like a yep now search it put it in only we're still gonna bring it back i can it's weird i have a little on the upper-right of my browser that allows me to.
rep,i think this is horrible.
prospect,ya ya bang see queen and complete antique guns for sale original so it takes out all of that search results all the unit so we we coded it that way now that wasn't celeb roast that was me i mean i you know i told celebra that's what we're doing and they should do that for their clients to link search enough.
rep,thats very interesting although i did realize that when you use certain urls and are powering through search you know and that's exactly what we do as well because these urls is what tells google that it's not a search page first of all and then second it actually uses keywords from this url and rates them very heavily also.
prospect,right.
